gram,count,category_1,category_2,category_3,hide
satin bomber jacket,15,,,,
puma track,4,,,,
track jacket,20,,,,
super puma track,4,,,,
puma track jacket,1,,,,
t7,14,,,,
puma t7,2,,,,
t7 jacket,2,,,,
super puma t7,2,,,,
puma t7 jacket,2,,,,
puma track pants,3,,,,
puma shorts,3,,,,
super puma shorts,3,,,,
puma driver,2,,,,
driver cap,2,,,,
super puma driver,2,,,,
puma driver cap,2,,,,
premium,59,,,,
puma clyde,18,,,,
clyde premium,5,,,,
premium core,5,,,,
puma clyde premium,5,,,,
clyde premium core,5,,,,
premium core men,5,,,,
mjrl,1,,,,
clyde mjrl,1,,,,
mjrl sneakers,1,,,,
puma clyde mjrl,1,,,,
clyde mjrl sneakers,1,,,,
snake,7,,,,
clyde snake,3,,,,
puma clyde snake,3,,,,
nyc,8,,,,
clyde sock,4,,,,
sock nyc,4,,,,
nyc men,4,,,,
puma clyde sock,4,,,,
clyde sock nyc,4,,,,
sock nyc men,4,,,,
nyc men s,4,,,,
trapstar,14,,,,
x trapstar,14,,,,
trapstar clyde,3,,,,
puma x trapstar,14,,,,
x trapstar clyde,3,,,,
bold,4,,,,
clyde bold,2,,,,
trapstar clyde bold,2,,,,
trapstar track,2,,,,
x trapstar track,2,,,,
trapstar track top,2,,,,
trapstar t,3,,,,
x trapstar t,3,,,,
trapstar t shirt,3,,,,
trapstar pants,2,,,,
x trapstar pants,2,,,,
trapstar parka,2,,,,
x trapstar parka,2,,,,
trapstar crew,2,,,,
x trapstar crew,2,,,,
leather,509,,,,
collection clyde,4,,,,
clyde leather,1,,,,
leather men,3,,,,
legacy collection clyde,4,,,,
collection clyde leather,1,,,,
clyde leather men,1,,,,
leather men s,1,,,,
clyde bball,1,,,,
collection clyde bball,1,,,,
wool,39,,,,
clyde wool,1,,,,
collection clyde wool,1,,,,
collection ignite,1,,,,
evoknit men,1,,,,
legacy collection ignite,1,,,,
collection ignite evoknit,1,,,,
ignite evoknit men,1,,,,
evoknit men s,1,,,,
graphic,200,,,,
collection graphic,3,,,,
graphic t,91,,,,
legacy collection graphic,3,,,,
collection graphic t,3,,,,
graphic t shirt,91,,,,
ram,2,,,,
collection ram,2,,,,
ram t,2,,,,
legacy collection ram,2,,,,
collection ram t,2,,,,
ram t shirt,2,,,,
collection t7,1,,,,
t7 t,1,,,,
legacy collection t7,1,,,,
collection t7 t,1,,,,
t7 t shirt,1,,,,
raglan,92,,,,
collection long,1,,,,
sleeve raglan,7,,,,
raglan t,7,,,,
legacy collection long,1,,,,
collection long sleeve,1,,,,
long sleeve raglan,1,,,,
sleeve raglan t,5,,,,
raglan t shirt,7,,,,
collection bball,1,,,,
bball top,1,,,,
legacy collection bball,1,,,,
collection bball top,1,,,,
up,105,,,,
clyde t7,1,,,,
t7 zip,1,,,,
zip up,9,,,,
up jacket,2,,,,
collection clyde t7,1,,,,
clyde t7 zip,1,,,,
t7 zip up,1,,,,
zip up jacket,2,,,,
gucci,31,,,,
hand,13,,,,
painted,7,,,,
gucci hand,3,,,,
hand painted,3,,,,
painted bomber,3,,,,
gucci hand painted,3,,,,
hand painted bomber,3,,,,
biker,15,,,,
gucci biker,1,,,,
biker jacket,5,,,,
gucci biker jacket,1,,,,
ghost,6,,,,
gucci ghost,1,,,,
ghost bomber,1,,,,
gucci ghost bomber,1,,,,
silk,9,,,,
gucci silk,1,,,,
silk bomber,1,,,,
gucci silk bomber,1,,,,
gucci bomber,2,,,,
slip,123,,,,
on,93,,,,
gucci slip,2,,,,
slip on,47,,,,
on sneaker,25,,,,
gucci slip on,2,,,,
slip on sneaker,25,,,,
gucci high,1,,,,
top sneaker,3,,,,
gucci high top,1,,,,
high top sneaker,3,,,,
gucci sneaker,1,,,,
sweatshirt,172,,,,
gucci sweatshirt,2,,,,
canvas,28,,,,
techpack,2,,,,
gucci canvas,2,,,,
canvas techpack,2,,,,
gucci canvas techpack,2,,,,
tote,62,,,,
gucci leather,3,,,,
leather tote,8,,,,
gucci leather tote,3,,,,
gucci duffle,1,,,,
gg,2,,,,
diamond,37,,,,
gucci gg,1,,,,
gg diamond,1,,,,
diamond t,1,,,,
gucci gg diamond,1,,,,
gg diamond t,1,,,,
diamond t shirt,1,,,,
gucci t,4,,,,
gucci t shirt,4,,,,
isaia,3,,,,
striped,60,,,,
cotton,153,,,,
isaia striped,1,,,,
striped silk,1,,,,
silk cotton,1,,,,
cotton polo,1,,,,
polo shirt,43,,,,
isaia striped silk,1,,,,
striped silk cotton,1,,,,
silk cotton polo,1,,,,
cotton polo shirt,1,,,,
windowpane,1,,,,
check,18,,,,
mock,4,,,,
neck,133,,,,
sweater,154,,,,
isaia windowpane,1,,,,
windowpane check,1,,,,
check mock,1,,,,
mock neck,1,,,,
neck sweater,23,,,,
isaia windowpane check,1,,,,
windowpane check mock,1,,,,
check mock neck,1,,,,
mock neck sweater,1,,,,
sailor,6,,,,
alpaca,2,,,,
boucle,1,,,,
blazer,30,,,,
isaia sailor,1,,,,
sailor check,1,,,,
check alpaca,1,,,,
alpaca wool,1,,,,
wool boucle,1,,,,
boucle blazer,1,,,,
isaia sailor check,1,,,,
sailor check alpaca,1,,,,
check alpaca wool,1,,,,
alpaca wool boucle,1,,,,
wool boucle blazer,1,,,,
david,11,,,,
kind,3,,,,
kodachi,1,,,,
david kind,1,,,,
kind kodachi,1,,,,
david kind kodachi,1,,,,
isaora,51,,,,
3x1,1,,,,
system,3,,,,
expedition,3,,,,
isaora 3x1,1,,,,
3x1 system,1,,,,
system expedition,1,,,,
expedition parka,1,,,,
isaora 3x1 system,1,,,,
3x1 system expedition,1,,,,
system expedition parka,1,,,,
insulated,5,,,,
stretchnet,1,,,,
overshirt,10,,,,
isaora insulated,4,,,,
insulated stretchnet,1,,,,
stretchnet overshirt,1,,,,
isaora insulated stretchnet,1,,,,
insulated stretchnet overshirt,1,,,,
ir,3,,,,
voyager,1,,,,
isaora ir,1,,,,
ir voyager,1,,,,
voyager jacket,1,,,,
isaora ir voyager,1,,,,
ir voyager jacket,1,,,,
3l,6,,,,
asym,4,,,,
riding,1,,,,
shell,16,,,,
isaora 3l,5,,,,
3l asym,1,,,,
asym riding,1,,,,
riding shell,1,,,,
isaora 3l asym,1,,,,
3l asym riding,1,,,,
asym riding shell,1,,,,
ux,1,,,,
3l tech,1,,,,
tech ux,1,,,,
ux parka,1,,,,
parka shell,1,,,,
isaora 3l tech,1,,,,
3l tech ux,1,,,,
tech ux parka,1,,,,
ux parka shell,1,,,,
service,31,,,,
3l service,1,,,,
service shell,1,,,,
