"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code"
"30-1-crs-jersey-tee-charcoal","Long Sleeve Jersey Tee","<h6>Description</h6>
<p>Standard fit, featuring super soft 30/1 <span>Spun cotton</span>, crew neck and long sleeves.</p>
<h6>Details</h6>
<p>30/1 Soft SpunCotton / Polyester blend 4.3 oz / 145 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, 30/1 CRS JERSEY TEE, doublestandard, TEE","FALSE","Size","S","Color","CHARCOAL",,,"LFCO17LS005-CHA-S",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561935,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"30/1 CRS JERSEY TEE",,,"New",,,,,,,,"lb",
"30-1-crs-jersey-tee-charcoal",,,,,,,,"M",,"CHARCOAL",,,"LFCO17LS005-CHA-M",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561942,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-charcoal",,,,,,,,"L",,"CHARCOAL",,,"LFCO17LS005-CHA-L",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561959,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-charcoal",,,,,,,,"XL",,"CHARCOAL",,,"LFCO17LS005-CHA-XL",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561966,,,,,,,,,,,,,,,,,,,,,"lb",
"30-1-crs-jersey-tee-charcoal",,,,,,,,"2XL",,"CHARCOAL",,,"LFCO17LS005-CHA-2XL",,"shopify",0,"deny","manual",24.99,,"TRUE","TRUE",888236561973,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-abyss","Omni Tee","<h6>Description</h6>
<p>Standard fit, featuring super soft 30/1 <span>Spun cotton</span>, crew neck and short sleeves.</p>
<h6>Details</h6>
<p>30/1 Soft SpunCotton / Polyester blend 4.3 oz / 145 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, color-abyss, doublestandard, OMNI COLLECTION TEE, size-2xl, size-l, size-m, size-s, size-xl, TEE","FALSE","Size","S","Color","ABYSS",,,"LFCO17SS004-ABY-S",0,"shopify",2,"deny","manual",23.99,,"TRUE","TRUE",888236562680,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"OMNI COLLECTION TEE",,,"New",,,,,,,,"lb",
"omni-collection-tee-abyss",,,,,,,,"M",,"ABYSS",,,"LFCO17SS004-ABY-M",0,"shopify",8,"deny","manual",23.99,,"TRUE","TRUE",888236562697,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-abyss",,,,,,,,"L",,"ABYSS",,,"LFCO17SS004-ABY-L",0,"shopify",10,"deny","manual",23.99,,"TRUE","TRUE",888236562703,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-abyss",,,,,,,,"XL",,"ABYSS",,,"LFCO17SS004-ABY-XL",0,"shopify",7,"deny","manual",23.99,,"TRUE","TRUE",888236562710,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-abyss",,,,,,,,"2XL",,"ABYSS",,,"LFCO17SS004-ABY-2XL",0,"shopify",2,"deny","manual",23.99,,"TRUE","TRUE",888236562727,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-black-pearl","Omni Tee","<h6>Description</h6>
<p>Standard fit, featuring super soft 30/1 <span>Spun cotton</span>, crew neck and short sleeves.</p>
<h6>Details</h6>
<p>30/1 Soft SpunCotton / Polyester blend 4.3 oz / 145 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, color-black-pearl, doublestandard, OMNI COLLECTION TEE, size-l, size-m, size-s, size-xl, TEE","FALSE","Size","S","Color","BLACK PEARL",,,"LFCO17SS004-BKP-S",0,"shopify",2,"deny","manual",23.99,,"TRUE","TRUE",888236562635,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"OMNI COLLECTION TEE",,,"New",,,,,,,,"lb",
"omni-collection-tee-black-pearl",,,,,,,,"M",,"BLACK PEARL",,,"LFCO17SS004-BKP-M",0,"shopify",8,"deny","manual",23.99,,"TRUE","TRUE",888236562642,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-black-pearl",,,,,,,,"L",,"BLACK PEARL",,,"LFCO17SS004-BKP-L",0,"shopify",10,"deny","manual",23.99,,"TRUE","TRUE",888236562659,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-black-pearl",,,,,,,,"XL",,"BLACK PEARL",,,"LFCO17SS004-BKP-XL",0,"shopify",8,"deny","manual",23.99,,"TRUE","TRUE",888236562666,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-black-pearl",,,,,,,,"2XL",,"BLACK PEARL",,,"LFCO17SS004-BKP-2XL",0,"shopify",0,"deny","manual",23.99,,"TRUE","TRUE",888236562673,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-artichoke","Omni Tee","<h6>Description</h6>
<p>Standard fit, featuring super soft 30/1 <span>Spun cotton</span>, crew neck and short sleeves.</p>
<h6>Details</h6>
<p>30/1 Soft SpunCotton / Polyester blend 4.3 oz / 145 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, color-artichoke, doublestandard, OMNI COLLECTION TEE, size-2xl, size-l, size-m, size-s, size-xl, TEE","FALSE","Size","S","Color","ARTICHOKE",,,"LFCO17SS004-ART-S",0,"shopify",2,"deny","manual",23.99,,"TRUE","TRUE",888236562581,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"OMNI COLLECTION TEE",,,"New",,,,,,,,"lb",
"omni-collection-tee-artichoke",,,,,,,,"M",,"ARTICHOKE",,,"LFCO17SS004-ART-M",0,"shopify",8,"deny","manual",23.99,,"TRUE","TRUE",888236562598,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-artichoke",,,,,,,,"L",,"ARTICHOKE",,,"LFCO17SS004-ART-L",0,"shopify",10,"deny","manual",23.99,,"TRUE","TRUE",888236562604,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-artichoke",,,,,,,,"XL",,"ARTICHOKE",,,"LFCO17SS004-ART-XL",0,"shopify",8,"deny","manual",23.99,,"TRUE","TRUE",888236562611,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-artichoke",,,,,,,,"2XL",,"ARTICHOKE",,,"LFCO17SS004-ART-2XL",0,"shopify",2,"deny","manual",23.99,,"TRUE","TRUE",888236562628,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-rust","Omni Tee","<h6>Description</h6>
<p>Standard fit, featuring super soft 30/1 <span>Spun cotton</span>, crew neck and short sleeves.</p>
<h6>Details</h6>
<p>30/1 Soft SpunCotton / Polyester blend 4.3 oz / 145 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, color-rust, doublestandard, OMNI COLLECTION TEE, size-2xl, size-l, size-m, size-s, size-xl, TEE","FALSE","Size","S","Color","RUST",,,"LFCO17SS004-RST-S",0,"shopify",2,"deny","manual",23.99,,"TRUE","TRUE",888236562536,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"OMNI COLLECTION TEE",,,"New",,,,,,,,"lb",
"omni-collection-tee-rust",,,,,,,,"M",,"RUST",,,"LFCO17SS004-RST-M",0,"shopify",8,"deny","manual",23.99,,"TRUE","TRUE",888236562543,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-rust",,,,,,,,"L",,"RUST",,,"LFCO17SS004-RST-L",0,"shopify",10,"deny","manual",23.99,,"TRUE","TRUE",888236562550,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-rust",,,,,,,,"XL",,"RUST",,,"LFCO17SS004-RST-XL",0,"shopify",8,"deny","manual",23.99,,"TRUE","TRUE",888236562567,,,,,,,,,,,,,,,,,,,,,"lb",
"omni-collection-tee-rust",,,,,,,,"2XL",,"RUST",,,"LFCO17SS004-RST-2XL",0,"shopify",2,"deny","manual",23.99,,"TRUE","TRUE",888236562574,,,,,,,,,,,,,,,,,,,,,"lb",
